Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Adam Kennedy,WAS,47,135,342,43,85,16,1,3,31,14,2,37,44,1,4,5,.249,.327,.327,.654
Chris Johnson,HOU,38,94,341,40,105,22,2,11,52,3,0,15,91,0,4,2,.308,.337,.481,.818
Jhonny Peralta,CLE,41,91,334,37,82,23,2,7,43,1,0,32,69,0,6,1,.246,.308,.389,.697
Chipper Jones,ATL,51,95,317,47,84,21,0,10,46,5,0,61,47,0,3,0,.265,.381,.426,.807
Melvin Mora,COL,51,113,316,39,90,12,5,7,45,2,1,31,53,2,0,5,.285,.358,.421,.779
Reid Brignac,TB,37,113,301,39,77,13,1,8,45,3,3,20,77,0,2,3,.256,.307,.385,.692
Danny Valencia,MIN,39,85,299,30,93,18,1,7,40,2,0,20,46,0,3,0,.311,.351,.448,.799
Pedro Feliz,HOU,48,97,289,22,64,12,1,4,31,1,1,9,31,0,5,1,.221,.243,.311,.554
Jayson Nix,CLE,41,78,282,29,66,14,0,13,29,1,2,13,75,2,2,7,.234,.283,.422,.705
Wilson Betemit,KC,43,84,276,36,82,20,0,13,43,0,0,36,74,0,2,1,.297,.378,.511,.889
Luis Valbuena,CLE,37,91,275,22,53,12,0,2,24,1,2,28,61,2,2,3,.193,.273,.258,.531
Yunel Escobar,ATL,40,75,261,28,62,12,0,0,19,5,1,37,31,2,0,1,.238,.334,.284,.618
Wes Helms,FLA,47,127,254,25,56,12,4,4,39,0,2,26,76,0,3,4,.220,.300,.346,.646
Andy LaRoche,PIT,40,102,247,26,51,8,0,4,16,1,1,19,43,2,1,2,.206,.268,.287,.555
David Freese,STL,40,70,240,28,71,12,1,4,36,1,1,21,59,4,1,4,.296,.361,.404,.765
Yunel Escobar,TOR,40,60,236,32,65,7,0,4,16,1,1,19,26,7,0,4,.275,.340,.356,.696
Brandon Wood,LAA,38,81,226,20,33,2,0,4,14,1,0,6,71,8,1,2,.146,.174,.208,.382
Mike Lowell,BOS,49,73,218,23,52,13,0,5,26,0,0,23,34,0,3,0,.239,.307,.367,.674
Jhonny Peralta,DET,41,57,217,23,55,7,0,8,38,0,0,21,34,0,4,0,.253,.314,.396,.710
Alberto Callaspo,LAA,40,58,213,21,53,8,0,2,13,2,2,12,13,1,1,1,.249,.291,.315,.606
Geoff Blum,HOU,50,93,202,22,54,10,1,2,22,0,0,15,33,0,0,1,.267,.321,.356,.677
Andres Blanco,TEX,39,68,166,17,46,10,1,0,13,0,2,11,24,3,2,3,.277,.330,.349,.679
Josh Bell,BAL,36,53,159,15,34,5,0,3,12,0,1,2,53,0,0,0,.214,.224,.302,.526
Bobby Crosby,PIT,43,61,156,9,35,8,0,1,11,0,2,16,33,2,0,1,.224,.301,.295,.596
Brooks Conrad,ATL,43,103,156,31,39,11,1,8,33,5,1,16,45,4,0,1,.250,.324,.487,.811
John McDonald,TOR,48,63,152,27,38,9,2,6,23,2,1,6,26,2,3,0,.250,.273,.454,.727
Brett Wallace,HOU,37,51,144,14,32,6,1,2,13,0,0,8,50,0,0,7,.222,.296,.319,.615
Garrett Atkins,BAL,43,44,140,5,30,7,0,1,9,0,0,12,30,0,0,0,.214,.276,.286,.562
Pedro Feliz,STL,48,40,120,14,25,0,1,1,9,0,0,4,10,0,1,0,.208,.232,.250,.482
Eric Chavez,OAK,45,33,111,10,26,8,0,1,10,0,0,8,31,0,4,0,.234,.276,.333,.609
Jorge Cantu,TEX,41,30,98,9,23,4,1,1,2,0,0,6,19,1,0,0,.235,.279,.327,.606
Scott Moore,BAL,39,41,86,8,18,2,0,3,10,3,0,8,19,1,1,0,.209,.274,.337,.611
Ryan Roberts,ARI,43,36,66,8,13,4,0,2,9,0,0,3,17,1,1,0,.197,.229,.348,.577
Brent Morel,CWS,36,21,65,9,15,3,0,3,7,2,0,4,17,0,1,0,.231,.271,.415,.686
Juan Francisco,CIN,36,36,55,3,15,3,0,1,7,0,1,4,20,0,0,0,.273,.322,.382,.704
Jayson Nix,CWS,41,24,49,3,8,1,0,1,5,0,0,7,12,1,0,0,.163,.268,.245,.513
Josh Fields,KC,40,13,49,5,15,0,0,3,6,0,0,1,9,0,0,0,.306,.320,.490,.810
Donnie Murphy,FLA,40,29,44,9,14,6,1,3,16,0,0,2,19,1,0,0,.318,.348,.705,1.053
Russell Mitchell,LAD,38,15,42,3,6,0,0,2,4,0,0,0,8,0,1,0,.143,.140,.286,.426
Trevor Plouffe,MIN,37,22,41,7,6,1,0,2,6,0,0,0,14,2,1,0,.146,.143,.317,.460
Matt Mangini,SEA,37,11,38,2,8,0,0,0,1,0,0,2,13,1,0,0,.211,.250,.211,.461
Mike Lamb,FLA,48,39,38,2,7,1,1,0,4,0,0,2,6,0,0,0,.184,.225,.263,.488
Drew Sutton,CLE,40,11,36,4,8,1,0,1,4,0,0,3,12,0,0,0,.222,.282,.333,.615
Josh Donaldson,OAK,37,14,32,1,5,1,0,1,4,0,0,2,12,0,0,0,.156,.206,.281,.487
Brian Barden,FLA,42,35,28,2,5,0,0,0,3,0,2,3,12,0,0,1,.179,.281,.179,.460
Chris Nelson,COL,38,17,25,7,7,1,0,0,0,1,0,1,4,1,0,0,.280,.308,.320,.628
Brandon Snyder,BAL,36,10,20,1,6,2,0,0,3,0,1,0,3,0,0,0,.300,.300,.400,.700
Chris Woodward,SEA,47,8,19,0,3,1,0,0,0,0,0,3,9,0,0,0,.158,.273,.211,.484
Luis Cruz,MIL,39,7,17,2,4,0,1,0,1,0,0,0,2,0,0,0,.235,.235,.353,.588
Ryan Rohlinger,SF,39,12,15,1,3,0,0,0,1,0,0,2,5,1,0,0,.200,.294,.200,.494
Nick Green,TOR,45,9,13,2,2,0,0,0,1,0,0,1,3,0,0,0,.154,.214,.154,.368
Bobby Crosby,ARI,43,9,12,0,2,2,0,0,2,0,1,1,5,0,1,0,.167,.214,.333,.547
Justin Turner,BAL,38,5,9,0,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Justin Turner,NYM,38,4,8,1,1,1,0,0,0,0,0,1,0,0,0,0,.125,.222,.250,.472
Nick Green,LAD,45,5,8,0,1,0,0,0,1,0,0,0,2,0,0,1,.125,.222,.125,.347
Luke Hughes,MIN,39,2,7,1,2,0,0,1,1,0,1,0,3,0,0,0,.286,.286,.714,1.000
Pedro Ciriaco,PIT,37,8,6,3,3,1,1,0,1,0,0,0,3,0,0,0,.500,.500,1.000,1.500
Drew Sutton,CIN,40,2,3,1,2,0,0,1,4,0,0,0,1,0,0,0,.667,.667,1.667,2.334
