Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Michael Young,TEX,46,157,656,99,186,36,3,21,91,4,2,50,115,0,11,1,.284,.330,.444,.774
Chase Headley,SD,39,161,610,77,161,29,3,11,58,17,5,56,139,1,4,3,.264,.327,.375,.702
Casey McGehee,MIL,40,157,610,70,174,38,1,23,104,1,1,50,102,0,8,2,.285,.337,.464,.801
Martin Prado,ATL,39,140,599,100,184,40,3,15,66,5,3,40,86,3,6,3,.307,.350,.459,.809
Jose Lopez,SEA,39,150,593,49,142,29,0,10,58,3,2,23,66,0,3,3,.239,.270,.339,.609
Adrian Beltre,BOS,44,154,589,84,189,49,2,28,102,2,1,40,82,0,7,5,.321,.365,.553,.918
David Wright,NYM,40,157,587,87,166,36,3,29,103,19,11,69,161,0,12,2,.283,.354,.503,.857
Ty Wigginton,BAL,45,154,581,63,144,29,1,22,76,0,1,50,116,1,9,8,.248,.312,.415,.727
Evan Longoria,TB,37,151,574,96,169,46,5,22,104,15,5,72,124,0,10,5,.294,.372,.507,.879
Jose Bautista,TOR,42,161,569,109,148,35,3,54,124,9,2,100,116,0,4,10,.260,.378,.617,.995
Placido Polanco,PHI,47,132,554,76,165,27,2,6,52,5,0,32,47,1,8,7,.298,.339,.386,.725
Kevin Kouzmanoff,OAK,42,143,551,59,136,32,1,16,71,2,1,24,96,0,5,6,.247,.283,.396,.679
Juan Uribe,SF,44,148,521,64,129,24,2,24,85,1,2,45,92,0,5,4,.248,.310,.440,.750
Brandon Inge,DET,46,144,514,47,127,28,5,13,70,4,3,54,134,0,7,5,.247,.321,.397,.718
Jeff Keppinger,HOU,43,137,514,62,148,34,1,6,59,4,1,51,36,5,4,1,.288,.351,.393,.744
Casey Blake,LAD,50,146,509,56,126,28,1,17,64,0,4,48,138,3,3,8,.248,.320,.407,.727
Scott Rolen,CIN,48,133,471,66,134,34,3,20,83,1,2,50,82,0,8,8,.285,.358,.497,.855
Aramis Ramirez,CHC,45,124,465,61,112,21,1,25,83,0,0,34,90,0,5,3,.241,.294,.452,.746
Starlin Castro,CHC,33,125,463,53,139,31,5,3,41,10,8,29,71,4,4,6,.300,.347,.408,.755
Jerry Hairston Jr.,SD,47,119,430,53,105,13,2,10,50,9,6,31,54,4,6,5,.244,.299,.353,.652
Ian Stewart,COL,38,121,386,54,99,14,2,18,61,5,2,45,110,0,5,5,.256,.338,.443,.781
Asdrubal Cabrera,CLE,37,97,381,39,105,16,1,3,29,6,4,25,60,11,3,5,.276,.326,.346,.672
Jorge Cantu,FLA,41,97,374,41,98,25,0,10,54,0,0,23,76,0,7,6,.262,.310,.409,.719
Kevin Youkilis,BOS,44,102,362,77,111,26,5,19,62,4,1,58,67,0,5,10,.307,.411,.564,.975
Chris Coghlan,FLA,38,91,358,60,96,20,3,5,28,10,3,33,84,3,2,4,.268,.335,.383,.718
Alberto Callaspo,KC,40,88,349,40,96,19,2,8,43,3,1,19,29,0,5,0,.275,.308,.410,.718
Sean Rodriguez,TB,38,118,343,53,86,19,2,9,40,13,3,21,97,5,1,8,.251,.308,.397,.705
