Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Micah Hoffpauir,CHC,43,24,52,5,9,3,0,0,5,0,0,5,15,0,0,0,.173,.246,.231,.477
Mike Sweeney,PHI,50,26,52,10,12,2,0,2,8,1,0,5,7,0,0,1,.231,.310,.385,.695
Rhyne Hughes,BAL,40,14,47,3,10,2,0,0,4,0,0,4,19,0,0,0,.213,.275,.255,.530
Brandon Allen,ARI,37,22,45,5,12,3,0,1,6,0,0,10,20,0,1,0,.267,.393,.400,.793
Chad Tracy,CHC,43,28,44,6,11,2,0,0,5,0,0,5,15,0,0,0,.250,.327,.295,.622
Mike Carp,SEA,37,14,37,1,7,2,0,0,0,0,0,4,8,0,0,0,.189,.268,.243,.511
Robb Quinlan,LAA,46,23,33,4,4,2,0,0,2,2,0,2,6,1,0,0,.121,.171,.182,.353
Ryan Garko,TEX,42,15,33,0,3,0,0,0,3,0,0,3,4,2,0,0,.091,.167,.091,.258
Yonder Alonso,CIN,36,22,29,2,6,2,0,0,3,0,0,0,10,0,0,0,.207,.207,.276,.483
Hector Luna,FLA,43,27,29,2,4,1,0,2,4,0,1,0,13,0,1,0,.138,.133,.379,.512
Steve Pearce,PIT,40,15,29,4,8,2,1,0,5,0,0,7,6,0,2,0,.276,.395,.414,.809
Brad Eldred,COL,43,11,24,4,6,1,0,1,3,0,0,2,10,0,0,1,.250,.333,.417,.750
Mike Jacobs,NYM,42,7,24,1,5,1,0,1,2,0,0,3,7,1,0,0,.208,.296,.375,.671
Freddie Freeman,ATL,34,20,24,3,4,1,0,1,1,0,0,0,8,0,0,0,.167,.167,.333,.500
Matt Downs,HOU,39,11,19,2,2,0,0,0,0,0,0,1,2,0,0,1,.105,.190,.105,.295
Mat Gamel,MIL,38,12,15,1,3,1,0,0,1,0,0,1,8,0,0,1,.200,.294,.267,.561
Mark Hamilton,STL,39,9,14,0,2,0,0,0,0,0,0,1,5,0,0,0,.143,.200,.143,.343
John Lindsey,LAD,46,11,12,0,1,0,0,0,0,0,0,0,3,0,0,1,.083,.154,.083,.237
Jeff Larish,DET,40,3,10,0,2,0,0,0,1,0,0,0,4,0,0,0,.200,.200,.200,.400
Ryan Shealy,BOS,44,5,7,0,0,0,0,0,0,0,0,0,2,0,0,0,.000,.000,.000,.000
