Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Lance Zawadzki,SD,38,20,35,4,7,2,0,0,1,1,0,5,7,2,0,0,.200,.300,.257,.557
Argenis Diaz,PIT,36,22,33,0,8,1,0,0,2,0,1,3,10,0,0,0,.242,.306,.273,.579
Joaquin Arias,NYM,39,22,30,5,6,1,0,0,4,0,0,2,6,1,0,0,.200,.250,.233,.483
Chin-Lung Hu,LAD,39,14,23,2,3,1,0,0,1,1,0,0,5,0,1,1,.130,.160,.174,.334
Oswaldo Navarro,HOU,38,14,20,2,1,0,0,0,0,0,0,5,4,0,0,0,.050,.240,.050,.290
Andrew Romine,LAA,37,5,11,0,1,0,0,0,0,0,0,0,4,1,0,0,.091,.091,.091,.182
Diory Hernandez,ATL,39,20,9,5,1,0,0,1,1,0,0,0,4,1,0,0,.111,.111,.444,.555
Alex Cora,TEX,47,4,7,0,2,0,0,0,0,0,0,0,0,0,0,0,.286,.286,.286,.572
Brian Bocock,PHI,38,6,5,2,0,0,0,0,0,0,0,0,3,0,0,0,.000,.000,.000,.000
Brandon Hicks,ATL,38,16,5,7,0,0,0,0,0,0,0,1,2,0,0,0,.000,.167,.000,.167
Juan Castro,LAD,51,1,3,0,0,0,0,0,0,0,0,1,2,0,0,0,.000,.250,.000,.250
Angel Sanchez,BOS,40,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
