Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Marco Scutaro,BOS,47,150,632,92,174,38,0,11,56,5,4,53,71,4,3,3,.275,.333,.388,.721
Robinson Cano,NYY,40,160,626,103,200,41,3,29,109,3,2,57,77,0,5,8,.319,.381,.534,.915
Brandon Phillips,CIN,42,155,626,100,172,33,5,18,59,16,12,46,83,6,1,8,.275,.332,.430,.762
Dan Uggla,FLA,43,159,589,100,169,31,0,33,105,4,1,78,149,0,5,2,.287,.369,.508,.877
Kelly Johnson,ARI,41,154,585,93,166,36,5,26,71,13,7,79,148,3,2,2,.284,.370,.496,.866
Yuniesky Betancourt,KC,41,151,556,60,144,29,2,16,78,2,3,23,64,4,4,1,.259,.288,.405,.693
Ben Zobrist,TB,42,151,541,77,129,28,2,10,75,24,3,92,107,7,12,3,.238,.346,.353,.699
Aaron Hill,TOR,41,138,528,70,108,22,0,26,68,2,2,41,85,1,2,8,.205,.271,.394,.665
Cliff Pennington,OAK,39,156,508,64,127,26,8,6,46,29,5,50,96,12,3,3,.250,.319,.368,.687
Orlando Hudson,MIN,45,126,497,80,133,24,5,6,37,10,3,50,87,5,3,4,.268,.338,.372,.710
Omar Infante,ATL,41,134,471,65,151,15,3,8,47,7,6,29,62,4,2,0,.321,.359,.416,.775
Gordon Beckham,CWS,37,131,444,58,112,25,2,9,49,4,6,37,92,6,4,7,.252,.317,.378,.695
David Eckstein,SD,48,116,442,49,118,23,0,1,29,8,1,27,35,12,2,9,.267,.321,.326,.647
Brendan Ryan,STL,41,139,439,50,98,19,3,2,36,11,4,33,60,9,3,2,.223,.279,.294,.573
Mark Ellis,OAK,46,124,436,45,127,24,0,5,49,7,6,40,56,3,5,8,.291,.358,.381,.739
Freddy Sanchez,SF,45,111,431,55,126,22,1,7,47,3,1,32,68,8,5,3,.292,.342,.397,.739
Neil Walker,PIT,38,110,426,57,126,29,3,12,66,2,3,34,83,2,4,3,.296,.349,.462,.811
Chase Utley,PHI,44,115,425,75,117,20,2,16,65,13,2,63,63,0,5,18,.275,.387,.445,.832
Ian Kinsler,TEX,41,103,391,73,112,20,1,9,45,15,5,56,57,2,4,7,.286,.382,.412,.794
Ryan Theriot,CHC,43,96,388,45,110,10,2,1,21,16,6,19,46,2,1,2,.284,.320,.327,.647
Rafael Furcal,LAD,46,97,383,66,115,23,7,8,43,22,4,40,60,2,2,1,.300,.366,.460,.826
Felipe Lopez,STL,43,109,376,50,87,18,1,7,36,8,2,43,77,3,2,1,.231,.310,.340,.650
