Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Omar Vizquel,CWS,56,108,344,36,95,11,1,2,30,11,7,34,45,7,4,2,.276,.341,.331,.672
Dustin Pedroia,BOS,40,75,302,53,87,24,1,12,41,9,1,37,38,2,6,4,.288,.367,.493,.860
Blake DeWitt,LAD,38,82,256,29,69,15,4,1,30,2,2,30,49,2,1,3,.270,.352,.371,.723
Adam Rosales,OAK,40,80,255,31,69,8,2,7,31,2,2,19,65,2,2,1,.271,.321,.400,.721
Carlos Guillen,DET,47,68,253,26,69,17,1,6,34,1,2,21,41,0,1,0,.273,.327,.419,.746
Nick Punto,MIN,45,88,252,24,60,11,1,1,20,6,2,28,50,4,3,1,.238,.313,.302,.615
Luis Castillo,NYM,48,86,247,28,58,4,2,0,17,8,3,39,25,11,2,0,.235,.337,.267,.604
Brian Roberts,BAL,45,59,230,28,64,14,0,4,15,12,2,26,40,1,2,2,.278,.354,.391,.745
Willie Harris,WAS,45,132,224,25,41,6,2,10,32,5,2,33,60,1,2,2,.183,.291,.362,.653
Chris Getz,KC,40,72,224,23,53,9,0,0,18,15,2,19,28,3,0,2,.237,.302,.277,.579
Jonathan Herrera,COL,38,76,222,34,63,6,2,1,21,2,2,25,36,7,3,0,.284,.352,.342,.694
Maicer Izturis,LAA,43,61,212,27,53,13,1,3,27,7,3,21,27,1,2,2,.250,.321,.363,.684
Rusty Ryal,ARI,40,104,207,19,54,7,1,3,11,0,3,8,67,1,0,6,.261,.308,.348,.656
Jeff Baker,CHC,41,79,206,29,56,13,2,4,21,1,0,16,50,0,1,1,.272,.326,.413,.739
Ryan Theriot,LAD,43,54,198,27,48,5,0,1,8,4,3,22,28,5,1,2,.242,.323,.283,.606
Tony Abreu,ARI,38,81,193,16,45,11,1,1,13,2,1,4,47,0,4,0,.233,.244,.316,.560
Will Rhymes,DET,40,54,191,30,58,12,3,1,19,0,3,14,16,7,1,0,.304,.350,.414,.764
Blake DeWitt,CHC,38,53,184,18,46,9,1,4,22,1,0,17,37,0,2,1,.250,.314,.375,.689
Jed Lowrie,BOS,39,55,171,31,49,14,0,9,24,1,1,25,25,0,0,1,.287,.381,.526,.907
Willie Bloomquist,KC,45,72,170,31,45,10,1,3,17,8,5,8,25,2,1,0,.265,.296,.388,.684
Mike Fontenot,CHC,43,75,169,14,48,11,3,1,20,1,2,10,28,1,2,3,.284,.332,.402,.734
Akinori Iwamura,PIT,44,54,165,18,30,6,1,2,9,3,1,26,31,1,1,0,.182,.292,.267,.559
Ronnie Belliard,LAD,48,82,162,24,35,10,1,2,19,2,2,18,35,2,2,1,.216,.295,.327,.622
Ramiro Pena,NYY,38,85,154,18,35,1,1,0,18,7,1,6,27,4,2,1,.227,.258,.247,.505
Alexi Casilla,MIN,39,69,152,26,42,7,4,1,20,6,1,13,17,4,1,0,.276,.331,.395,.726
Scott Sizemore,DET,38,48,143,19,32,7,0,3,14,0,0,15,40,4,1,0,.224,.296,.336,.632
Joe Inglett,MIL,45,102,142,15,36,8,5,1,8,1,0,15,34,0,1,2,.254,.331,.401,.732
Aaron Miles,STL,46,79,139,14,39,5,0,0,9,0,1,6,14,3,2,1,.281,.311,.317,.628
Mark Grudzielanek,CLE,53,30,110,10,30,0,0,0,11,2,0,8,10,0,0,1,.273,.328,.273,.601
Danny Worth,DET,37,39,106,10,27,5,0,2,8,1,2,6,13,3,0,0,.255,.295,.358,.653
Danny Espinosa,WAS,36,28,103,16,22,4,1,6,15,0,2,9,30,0,0,0,.214,.277,.447,.724
Matt Tolbert,MIN,41,48,87,8,20,4,3,1,18,1,1,9,18,1,3,0,.230,.293,.379,.672
Augie Ojeda,ARI,48,59,79,6,15,3,0,0,5,0,1,8,8,3,2,0,.190,.258,.228,.486
Darwin Barney,CHC,37,30,79,12,19,4,0,0,2,0,0,6,12,0,0,0,.241,.294,.291,.585
Mike Fontenot,SF,43,28,71,10,20,2,0,0,5,0,2,5,13,0,0,0,.282,.329,.310,.639
Robert Andino,BAL,39,16,61,6,18,4,0,2,6,1,1,3,13,0,1,1,.295,.333,.459,.792
Anderson Hernandez,CLE,40,22,61,6,15,3,0,0,2,1,0,2,9,0,0,0,.246,.270,.295,.565
Eugenio Velez,SF,41,29,55,7,9,2,0,2,8,0,0,6,9,5,0,0,.164,.246,.309,.555
Eduardo Nunez,NYY,36,30,50,12,14,1,0,1,7,5,0,3,2,0,0,0,.280,.321,.360,.681
Steve Tolleson,OAK,39,25,49,5,14,3,0,1,4,0,0,4,9,0,0,0,.286,.340,.408,.748
Kevin Russo,NYY,39,31,49,5,9,2,0,0,4,1,0,3,9,1,0,1,.184,.245,.224,.469
Anderson Hernandez,HOU,40,32,48,7,9,2,0,0,1,2,0,8,10,0,0,0,.188,.304,.229,.533
Chris Valaika,CIN,38,19,38,3,10,1,0,1,2,0,0,1,9,1,0,0,.263,.282,.368,.650
Daniel Descalso,STL,36,11,34,6,9,2,0,0,4,1,0,2,6,0,0,1,.265,.324,.324,.648
Jarrett Hoffpauir,TOR,40,13,34,1,7,1,0,0,0,0,0,2,5,1,0,0,.206,.250,.235,.485
Akinori Iwamura,OAK,44,10,31,3,4,1,0,0,4,0,0,5,10,0,0,0,.129,.250,.161,.411
Willie Bloomquist,CIN,45,11,17,0,5,0,0,0,0,0,0,1,3,0,0,0,.294,.333,.294,.627
Felipe Lopez,BOS,43,4,15,2,4,0,0,1,1,0,0,1,4,0,0,0,.267,.313,.467,.780
Esteban German,TEX,45,13,13,5,3,0,0,0,1,4,1,3,2,0,0,0,.231,.375,.231,.606
Eric Sogard,OAK,37,4,7,0,3,0,0,0,0,0,1,2,1,0,0,0,.429,.556,.429,.985
Emmanuel Burriss,SF,38,7,5,3,2,0,0,0,0,0,0,0,1,0,0,0,.400,.400,.400,.800
Niuman Romero,BOS,38,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000
