Player,Team,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Matt Carson,OAK,42,36,79,7,14,2,0,4,9,4,0,2,23,0,2,0,.177,.193,.354,.547
Jacoby Ellsbury,BOS,40,18,78,10,15,4,0,0,5,7,1,4,9,0,0,1,.192,.241,.244,.485
Brett Carroll,FLA,40,32,76,13,15,4,0,2,7,2,1,6,29,0,1,7,.197,.311,.329,.640
Jay Gibbons,LAD,46,37,75,11,21,2,0,5,17,0,1,4,14,0,1,0,.280,.313,.507,.820
Cody Ross,SF,42,33,73,11,21,4,0,3,7,0,1,7,21,0,1,1,.288,.354,.466,.820
Kazuo Matsui,HOU,47,27,71,4,10,1,0,0,1,1,1,4,10,2,0,1,.141,.197,.155,.352
Jody Gerut,MIL,46,32,71,7,14,4,1,2,8,0,1,3,17,0,0,0,.197,.230,.366,.596
John Bowker,PIT,40,26,69,7,16,5,0,2,13,0,1,8,10,0,0,0,.232,.312,.391,.703
Fernando Tatis,NYM,48,41,65,6,12,4,0,2,6,0,0,6,19,1,0,0,.185,.254,.338,.592
Cory Sullivan,HOU,44,57,64,6,12,1,1,0,4,0,0,6,18,1,0,0,.188,.257,.234,.491
Jeremy Hermida,OAK,39,21,64,5,16,4,0,1,2,0,0,4,13,0,0,0,.250,.294,.359,.653
Domonic Brown,PHI,36,35,62,8,13,3,0,2,13,2,1,5,24,0,3,0,.210,.257,.355,.612
Josh Reddick,BOS,36,29,62,5,12,3,1,1,5,1,0,1,15,0,0,0,.194,.206,.323,.529
Randy Winn,NYY,49,29,61,7,13,0,1,1,8,1,0,8,15,1,1,0,.213,.300,.295,.595
Joe Mather,STL,41,36,60,7,13,4,0,0,3,1,1,2,11,2,0,0,.217,.242,.283,.525
Colin Curtis,NYY,38,31,59,7,11,3,0,1,8,0,0,4,15,0,0,1,.186,.250,.288,.538
Gregor Blanco,ATL,39,36,58,9,18,1,1,0,3,1,2,8,15,0,0,0,.310,.394,.362,.756
Gary Matthews Jr.,NYM,49,36,58,9,11,3,0,0,1,1,0,6,24,1,0,0,.190,.266,.241,.507
Luis Montanez,BAL,41,26,57,2,8,0,0,0,3,1,0,1,9,0,0,0,.140,.155,.140,.295
Jarrod Dyson,KC,39,18,57,11,12,4,2,1,5,9,1,6,16,2,0,0,.211,.286,.404,.690
Conor Jackson,OAK,41,18,57,6,13,2,0,1,5,2,0,11,9,0,0,1,.228,.362,.316,.678
